slug,name,asset_type,regions,regulators,founded_year,min_deposit,fx_fee_pct,withdrawal_fee,inactivity_monthly,platform_fee_pct,monthly_fee,plan_currency,stock_commission_text,withdrawal_text,inactivity_text,verified_at,source_url,review_url
aj-bell,AJ Bell,investing,uk,FCA,1995,500,0.75,0,0,0.25,,GBP,£5.00 per online share deal (£3.50 if you made 10+ share deals in the previous month); regular investing is free,Free to a linked UK bank account,None,2026-07-27,https://www.ajbell.co.uk/isa/stocks-shares-isa/charges,https://feeswizard.com/review/aj-bell/
avatrade,AvaTrade,cfd,uk|eu,Central Bank of Ireland|ASIC|FSCA,2006,100,,,,,,,No commission; cost is in the spread (from 0.9 pips on EUR/USD),Free,"USD 50 a quarter (EUR 50 / GBP 50, by account currency) after three consecutive months of non-use, and every successive quarter, plus an annual administration fee of USD 100 / EUR 100 / GBP 100 after twelve consecutive months",2026-08-17,https://www.avatrade.com/trading-info/our-fees-charges,https://feeswizard.com/review/avatrade/
capital-com,Capital.com,cfd,uk|eu,FCA|CySEC|ASIC|SCB,2016,10,,,,,,,No commission; cost is in the spread (from 0.6 pips on EUR/USD),Free,None,2026-08-17,https://capital.com/en-int/ways-to-trade/fees-and-charges,https://feeswizard.com/review/capital-com/
degiro,DEGIRO,investing,eu,BaFin|AFM|DNB,2013,0,0.25,0,0,0,,EUR,"Commission plus a EUR 1 handling fee per trade: EUR 2 total on US exchanges, EUR 3 on the Irish home market, EUR 4.90 on London, Euronext, XETRA, Swiss and Nordic exchanges, EUR 6 on Australia, Frankfurt, Hong Kong, Singapore and Tokyo. ETFs EUR 3, or EUR 1 handling only for the Core Selection (the ETFs listed on Tradegate)",Free to a linked bank account,"None (DEGIRO publishes EUR 0 inactivity, custody, deposit and withdrawal fees)",2026-08-17,https://www.degiro.ie/data/pdf/ie/IE_Feeschedule.pdf,https://feeswizard.com/review/degiro/
etoro,eToro,investing,uk|eu,FCA|CySEC|ASIC,2007,50,0.75,5,0,0,,USD,"$1–$2 per side on stock positions (charged on opening and on closing, varies by country of residence); ETFs 0%",$5 per withdrawal on USD accounts ($30 min); free on GBP/EUR accounts,None (eToro removed the inactivity fee in 2026),2026-08-17,https://www.etoro.com/trading/fees/,https://feeswizard.com/review/etoro/
fidelity,Fidelity,investing,uk,FCA,1969,25,0.75,0,0,0.35,,GBP,"£7.50 per online share, ETF or investment trust deal (£30.00 by phone); £1.50 for regular savings plan trades and dividend reinvestment; funds free",Free to a linked UK bank account,None,2026-08-17,https://www.fidelity.co.uk/services/charges-fees/,https://feeswizard.com/review/fidelity/
fortrade,Fortrade,cfd,uk|eu,FCA|ASIC|CySEC|CIRO,2013,100,,,,,,,No commission; cost is in the spread (EUR/USD ~2 pips),Free (some payment methods may charge),"USD 10 a month (charged in your account currency) after six consecutive months with no transactions — no deposits, withdrawals or trading activity, including opening a pending order",2026-08-17,https://www.fortrade.com/faqs/fees-and-charges/,https://feeswizard.com/review/fortrade/
freetrade,Freetrade,investing,uk,FCA,2016,0,0.99,0,0,0,0,GBP,"£0 commission on all UK & US stocks, ETFs and investment trusts (all plans)",Free standard withdrawals; £5 for same-day withdrawal,None,2026-08-17,https://freetrade.io/pricing,https://feeswizard.com/review/freetrade/
hargreaves-lansdown,Hargreaves Lansdown,investing,uk,FCA,1981,100,0.99,0,0,0.35,,GBP,£6.95 per online share deal (£3.95 if you dealt 20+ times in the previous month); £1.95 per online fund deal; free via monthly direct debit or dividend reinvestment,Free to a linked UK bank account,None,2026-08-17,https://www.hl.co.uk/investment-services/isa/savings-interest-rates-and-charges,https://feeswizard.com/review/hargreaves-lansdown/
interactive-brokers,Interactive Brokers,investing,uk|eu,FCA|SEC,1978,0,0.03,0,0,0,,GBP,"UK shares 0.05% of trade value, minimum £3; European shares 0.05%, minimum €3; US shares from $0.005 per share, minimum $1 (Fixed pricing)",Two free withdrawal requests per calendar month; after that GBP 7.00 by bank transfer or GBP 1.00 by BACS/GIRO (EUR 8.00 / EUR 1.00; USD 10.00 / USD 1.00),None on the standard account (the inactivity fee was removed in 2021),2026-08-17,https://www.interactivebrokers.co.uk/en/pricing/commissions-stocks.php,https://feeswizard.com/review/interactive-brokers/
